code,name,condition,card,buff,des
character_001,건강함,"""sta_health""|>=|75",effect_01,,
character_002,병약함,"""sta_health""|<|20",action_01,buff_01,
character_003,강한 정신력,"""sta_mental""|>=|75",effect_02,,
character_004,유리 멘탈,"""sta_mental""|<|20",action_02,buff_02,
character_005,착한 아이,"""sta_conscience""|>=|75",,buff_10,
character_006,비행 청소년,"""sta_conscience""|<|20",action_03,buff_03,
character_007,인문학자,"""abi_humanity""|>=|140",action_04,buff_04,
character_008,과학자,"""abi_research""|>=|140",action_05/action_10,buff_05,
character_009,예술가,"""abi_art""|>=|140",action_06/action_07,buff_06,
character_010,운동 선수,"""abi_exercise""|>=|140",action_08,buff_07,
character_011,사회인,"""abi_social""|>=|140",action_09,buff_08,
character_012,엄친아,"""abi_humanity""|>=|100/""abi_research""|>=|100/""abi_art""|>=|100/""abi_exercise""|>=|100/""abi_social""|>=|100",,buff_09
