주차/월,Jan.,Fab.,Mar.,Apr.,May.,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.
1주차,V,A,A,A,A,A,A,V,A,A,A,A
1주차,,,,,,,,,,,,
1주차,,,,,,,,,,,,
1주차,,,,,,,,,,,,
1주차,,,,,,,,,,,,
1주차,,,,,,,,,,,,
1주차,,,,,,,,,,,,
2주차,V,A,A,A,A,A,A,V,A,A,A,A
2주차,,,,,,,,,,,,
2주차,,,,,,,,,,,,
2주차,,,,,,,,,,,,
2주차,,,,,,,,,,,,
2주차,,,,,,,,,,,,
2주차,,,,,,,,,,,,
3주차,V,A,A,A,A,A,A,V,A,A,A,A
3주차,,,,,,,,,,,,
3주차,,,,,,,,,,,,
3주차,,,,,,,,,,,,
3주차,,,,,,,,,,,,
3주차,,,,,,,,,,,,
3주차,,,,,,,,,,,,
4주차,V,A,A,A,A,A,A,V,A,A,A,A
4주차,,,,,,,,,,,,
4주차,,,,,,,,,,,,
4주차,,,,,,,,,,,,
4주차,,,,,,,,,,,,
4주차,,,,,,,,,,,,
4주차,,,,,,,,,,,,
